Index,X,Y,Z,Target_X,Target_Y,Target_Z
167,-0.308121,-0.0186261,0.662181,-0.3044,-0.0149,0.6996
168,-0.308088,-0.0185925,0.662518,-0.3044,-0.0149,0.6996
169,-0.308054,-0.0185591,0.662854,-0.3044,-0.0149,0.6996
170,-0.308021,-0.0185256,0.66319,-0.3044,-0.0149,0.6996
171,-0.307988,-0.0184923,0.663525,-0.3044,-0.0149,0.6996
172,-0.307954,-0.0184589,0.66386,-0.3044,-0.0149,0.6996
173,-0.307921,-0.0184257,0.664194,-0.3044,-0.0149,0.6996
174,-0.307888,-0.0183924,0.664528,-0.3044,-0.0149,0.6996
175,-0.307855,-0.0183592,0.664861,-0.3044,-0.0149,0.6996
176,-0.307822,-0.0183261,0.665194,-0.3044,-0.0149,0.6996
177,-0.307789,-0.018293,0.665527,-0.3044,-0.0149,0.6996
178,-0.307756,-0.0182599,0.665859,-0.3044,-0.0149,0.6996
179,-0.307723,-0.0182268,0.666191,-0.3044,-0.0149,0.6996
180,-0.30769,-0.0181939,0.666522,-0.3044,-0.0149,0.6996
181,-0.307657,-0.0181609,0.666853,-0.3044,-0.0149,0.6996
182,-0.307625,-0.018128,0.667184,-0.3044,-0.0149,0.6996
183,-0.307592,-0.0180951,0.667514,-0.3044,-0.0149,0.6996
184,-0.307559,-0.0180622,0.667844,-0.3044,-0.0149,0.6996
185,-0.307526,-0.0180294,0.668174,-0.3044,-0.0149,0.6996
186,-0.307494,-0.0179966,0.668503,-0.3044,-0.0149,0.6996
187,-0.307461,-0.0179638,0.668833,-0.3044,-0.0149,0.6996
188,-0.307428,-0.017931,0.669162,-0.3044,-0.0149,0.6996
189,-0.307396,-0.0178983,0.66949,-0.3044,-0.0149,0.6996
190,-0.307363,-0.0178656,0.669819,-0.3044,-0.0149,0.6996
191,-0.307331,-0.0178329,0.670147,-0.3044,-0.0149,0.6996
192,-0.307298,-0.0178003,0.670475,-0.3044,-0.0149,0.6996
193,-0.307265,-0.0177676,0.670803,-0.3044,-0.0149,0.6996
194,-0.307233,-0.017735,0.67113,-0.3044,-0.0149,0.6996
195,-0.3072,-0.0177024,0.671457,-0.3044,-0.0149,0.6996
196,-0.307168,-0.0176699,0.671785,-0.3044,-0.0149,0.6996
197,-0.307136,-0.0176373,0.672112,-0.3044,-0.0149,0.6996
198,-0.307103,-0.0176048,0.672438,-0.3044,-0.0149,0.6996
199,-0.307071,-0.0175722,0.672765,-0.3044,-0.0149,0.6996
200,-0.307038,-0.0175397,0.673091,-0.3044,-0.0149,0.6996
201,-0.307006,-0.0175073,0.673417,-0.3044,-0.0149,0.6996
202,-0.306974,-0.0174751,0.673741,-0.3044,-0.0149,0.6996
203,-0.306942,-0.0174435,0.674058,-0.3044,-0.0149,0.6996
204,-0.306911,-0.0174124,0.67437,-0.3044,-0.0149,0.6996
205,-0.306881,-0.0173819,0.674676,-0.3044,-0.0149,0.6996
206,-0.306851,-0.017352,0.674977,-0.3044,-0.0149,0.6996
207,-0.306822,-0.0173226,0.675272,-0.3044,-0.0149,0.6996
208,-0.306793,-0.0172938,0.675561,-0.3044,-0.0149,0.6996
209,-0.306765,-0.0172656,0.675844,-0.3044,-0.0149,0.6996
210,-0.306738,-0.0172379,0.676122,-0.3044,-0.0149,0.6996
211,-0.306711,-0.0172109,0.676394,-0.3044,-0.0149,0.6996
212,-0.306684,-0.0171842,0.676661,-0.3044,-0.0149,0.6996
213,-0.306658,-0.0171581,0.676924,-0.3044,-0.0149,0.6996
214,-0.306633,-0.0171323,0.677183,-0.3044,-0.0149,0.6996
215,-0.306607,-0.0171069,0.677438,-0.3044,-0.0149,0.6996
